<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
了	1893761
的	1800183
我	1718866
你	1243216
啊	837031
是	680966
都	462078
好	432087
不	424705
就	418887
去	374153
在	338722
有	315147
也	309606
吧	287792
要	281424
啦	247832
还	244784
想	226011
没	219129
又	211589
呢	210635
说	203112
什么	201880
吗	183233
吃	182138
人	175284
哈哈	171825
看	171586
很	165988
那	156351
怎么	154358
到	153734
么	151560
这	141721
今天	141167
一个	133696
不是	132672
现在	126512
来	125841
可以	122663
自己	120510
还是	116529
就是	114838
给	113039
会	112275
没有	112197
知道	111026
个	107382
多	104372
呀	103032
哦	102132
做	99565
和	98443
得	96299
我们	94847
这么	93632
被	92359
明天	88841
他	88165
对	85011
上	84119
过	83215
谁	82930
这个	81914
着	80060
唔	79976
觉得	79503
嘛	78281
买	77523
真的	77075
能	75971
时候	75068
睡	74955
才	72763
把	71583
不要	68008
跟	67113
那么	67084
感觉	66659
哈哈哈	65070
太	64889
你们	64509
等	64325
让	63283
喜欢	62197
再	61324
真	59229
快	58962
回来	58816
啥	58478
死	58239
下	57941
大	57534
嗯	57117
这样	56623
叫	55768
开始	54904
不会	54748
点	54617
找	54365
还有	54033
呵呵	53116
已经	52190
上班	50354
回家	50112
一	50029
走	49779
她	49668
咯	49255
不过	48667
最近	47004
晚上	46983
那个	46704
哎	45891
应该	45826
不能	44420
为什么	44201
咩	43418
完	43410
打	43139
睡觉	42971
玩	42799
终于	42494
今晚	42354
有点	41931
用	41817
比	41736
出来	41498
小	41446
不想	41318
哪	40624
开心	40519
系	40333
一起	39932
爱	39101
一天	38989
时间	38775
东西	38768
起来	38588
看到	38154
哪里	37422
一下	37328
一样	36836
事	36634
听	36339
最	36117
心情	35879
其实	35847
阿	35845
哇	35420
中	35299
回	35292
加油	35019
真是	35004
一直	34563
话	34408
请	34210
是不是	34122
唉	34103
因为	33982
所以	33833
喝	33586
我要	33494
不错	33175
学校	33168
不好	32958
早	32851
工作	32684
咋	32362
好好	32171
月	32151
手机	31902
求	31661
突然	31557
可能	31505
无	31119
吖	30985
准备	30575
